Date,Open,High,Low,Close,Adj Close,Volume
2007-06-27,17981.769531,17983.349609,17848.050781,17849.279297,17849.279297,114300
2007-06-28,17915.630859,17960.220703,17893.369141,17932.269531,17932.269531,99900
2007-06-29,18010.500000,18144.630859,17973.500000,18138.359375,18138.359375,106100
2007-07-02,18139.039063,18175.300781,18062.490234,18146.300781,18146.300781,108600
2007-07-03,18206.490234,18230.890625,18146.740234,18149.900391,18149.900391,104800
2007-07-04,18158.769531,18207.970703,18143.580078,18168.720703,18168.720703,80300
2007-07-05,18191.890625,18295.269531,18191.890625,18221.480469,18221.480469,88700
2007-07-06,18184.640625,18184.640625,18086.009766,18140.939453,18140.939453,100600
2007-07-09,18226.070313,18282.150391,18213.589844,18261.980469,18261.980469,101100
2007-07-10,18244.689453,18259.810547,18204.039063,18252.669922,18252.669922,118800
2007-07-11,18116.660156,18116.660156,18028.869141,18049.509766,18049.509766,120600
2007-07-12,18105.890625,18130.439453,17919.169922,17984.140625,17984.140625,125700
2007-07-13,18161.019531,18268.640625,18150.990234,18238.949219,18238.949219,126200
2007-07-17,18269.359375,18269.359375,18167.820313,18217.269531,18217.269531,123300
2007-07-18,18136.060547,18136.060547,17964.279297,18015.580078,18015.580078,136600
2007-07-19,18095.949219,18131.119141,18037.330078,18116.570313,18116.570313,127500
2007-07-20,18148.599609,18223.039063,18124.740234,18157.929688,18157.929688,176600
2007-07-23,17995.710938,18009.470703,17892.750000,17963.640625,17963.640625,147200
2007-07-24,17998.759766,18018.939453,17906.109375,18002.029297,18002.029297,127400
2007-07-25,17810.970703,17881.310547,17733.960938,17858.419922,17858.419922,135300
2007-07-26,17807.230469,17861.470703,17678.980469,17702.089844,17702.089844,125200
2007-07-27,17454.589844,17454.589844,17196.160156,17283.810547,17283.810547,160400
2007-07-30,17138.529297,17289.300781,17042.660156,17289.300781,17289.300781,154100
2007-07-31,17318.009766,17318.009766,17195.289063,17248.890625,17248.890625,146500
2007-08-01,17169.199219,17169.199219,16845.539063,16870.980469,16870.980469,161400
2007-08-02,16956.330078,16999.160156,16652.800781,16984.109375,16984.109375,158000
2007-08-03,17019.800781,17102.070313,16913.269531,16979.859375,16979.859375,137300
2007-08-06,16781.140625,16951.980469,16675.390625,16914.460938,16914.460938,130700
2007-08-07,17009.630859,17049.449219,16863.460938,16921.769531,16921.769531,135000
2007-08-08,16930.390625,17085.099609,16911.679688,17029.279297,17029.279297,165100
2007-08-09,17170.359375,17274.330078,17148.949219,17170.599609,17170.599609,218800
2007-08-10,16923.210938,16948.960938,16651.710938,16764.089844,16764.089844,213300
2007-08-13,16791.800781,16948.400391,16725.550781,16800.050781,16800.050781,148200
2007-08-14,16824.630859,16855.050781,16747.939453,16844.609375,16844.609375,115400
2007-08-15,16659.070313,16667.359375,16433.300781,16475.609375,16475.609375,131400
2007-08-16,16296.400391,16296.400391,15859.459961,16148.490234,16148.490234,177100
2007-08-17,16035.379883,16062.589844,15262.099609,15273.679688,15273.679688,196900
2007-08-20,15477.259766,15940.610352,15477.259766,15732.480469,15732.480469,146700
2007-08-21,15773.860352,16101.639648,15754.509766,15901.339844,15901.339844,132600
2007-08-22,15866.599609,15957.959961,15787.959961,15900.639648,15900.639648,106300
2007-08-23,16093.820313,16333.360352,16093.820313,16316.320313,16316.320313,118200
2007-08-24,16286.009766,16329.959961,16188.080078,16248.969727,16248.969727,102800
2007-08-27,16429.009766,16504.720703,16263.950195,16301.389648,16301.389648,91600
2007-08-28,16214.089844,16343.280273,16192.839844,16287.490234,16287.490234,83800
2007-08-29,16068.099609,16068.099609,15830.280273,16012.830078,16012.830078,112000
2007-08-30,16182.089844,16269.660156,16091.280273,16153.820313,16153.820313,97200
2007-08-31,16270.990234,16569.089844,16266.230469,16569.089844,16569.089844,119500
2007-09-03,16511.070313,16575.970703,16452.740234,16524.929688,16524.929688,96700
2007-09-04,16445.730469,16511.640625,16392.210938,16420.470703,16420.470703,86500
2007-09-05,16506.109375,16553.220703,16154.900391,16158.450195,16158.450195,114100
2007-09-06,16003.879883,16257.000000,15840.049805,16257.000000,16257.000000,141200
2007-09-07,16179.780273,16230.580078,16027.929688,16122.160156,16122.160156,101100
2007-09-10,15906.519531,15906.519531,15651.830078,15764.969727,15764.969727,115300
2007-09-11,15787.860352,15940.379883,15610.650391,15877.669922,15877.669922,111000
2007-09-12,15978.780273,16032.259766,15731.320313,15797.599609,15797.599609,111000
2007-09-13,15886.759766,15931.089844,15802.360352,15821.190430,15821.190430,101500
2007-09-14,15895.049805,16142.080078,15877.089844,16127.419922,16127.419922,173000
2007-09-18,16037.490234,16037.490234,15780.900391,15801.799805,15801.799805,101000
2007-09-19,16038.120117,16386.169922,16038.120117,16381.540039,16381.540039,112300
2007-09-20,16474.660156,16491.449219,16344.280273,16413.789063,16413.789063,120800
2007-09-21,16284.429688,16353.969727,16245.940430,16312.610352,16312.610352,123000
2007-09-25,16317.190430,16434.800781,16240.259766,16401.730469,16401.730469,118000
2007-09-26,16388.509766,16457.720703,16388.509766,16435.740234,16435.740234,103800
2007-09-27,16551.939453,16868.939453,16551.939453,16832.220703,16832.220703,126800
2007-09-28,16903.640625,16929.259766,16755.210938,16785.689453,16785.689453,111600
2007-10-01,16773.099609,16899.839844,16685.800781,16845.960938,16845.960938,108600
2007-10-02,17027.919922,17072.669922,16986.380859,17046.779297,17046.779297,136100
2007-10-03,17066.140625,17205.419922,17017.769531,17199.890625,17199.890625,148100
2007-10-04,17085.320313,17160.470703,17043.759766,17092.490234,17092.490234,129300
2007-10-05,17070.609375,17144.349609,17032.750000,17065.039063,17065.039063,97300
2007-10-09,17166.169922,17237.400391,17133.519531,17159.900391,17159.900391,104600
2007-10-10,17231.140625,17254.519531,17146.390625,17177.890625,17177.890625,101900
2007-10-11,17188.810547,17488.970703,17154.750000,17458.980469,17458.980469,133100
2007-10-12,17417.939453,17441.750000,17280.599609,17331.169922,17331.169922,127000
2007-10-15,17399.669922,17430.089844,17292.130859,17358.150391,17358.150391,97000
2007-10-16,17267.070313,17283.050781,17104.199219,17137.919922,17137.919922,114500
2007-10-17,17114.199219,17114.199219,16795.740234,16955.310547,16955.310547,150700
2007-10-18,16974.689453,17147.730469,16974.689453,17106.089844,17106.089844,113800
2007-10-19,16965.000000,16965.000000,16711.570313,16814.369141,16814.369141,111700
2007-10-22,16563.570313,16563.570313,16264.700195,16438.470703,16438.470703,122100
2007-10-23,16486.710938,16554.910156,16416.919922,16450.580078,16450.580078,90400
2007-10-24,16518.000000,16578.589844,16330.330078,16358.389648,16358.389648,109200
2007-10-25,16368.019531,16438.570313,16199.019531,16284.169922,16284.169922,111600
2007-10-26,16358.610352,16505.630859,16348.860352,16505.630859,16505.630859,110300
2007-10-29,16613.300781,16774.179688,16613.300781,16698.080078,16698.080078,122000
2007-10-30,16655.310547,16682.869141,16492.560547,16651.009766,16651.009766,149300
2007-10-31,16620.589844,16738.980469,16552.539063,16737.630859,16737.630859,144700
2007-11-01,16812.900391,16887.039063,16795.550781,16870.400391,16870.400391,144900
2007-11-02,16647.400391,16654.730469,16484.539063,16517.480469,16517.480469,148200
2007-11-05,16458.140625,16458.140625,16211.790039,16268.919922,16268.919922,142700
2007-11-06,16152.580078,16353.929688,16144.400391,16249.629883,16249.629883,138700
2007-11-07,16325.179688,16326.580078,16081.030273,16096.679688,16096.679688,136100
2007-11-08,15889.030273,15891.230469,15626.059570,15771.570313,15771.570313,161200
2007-11-09,15675.480469,15834.969727,15566.120117,15583.419922,15583.419922,160400
2007-11-12,15377.370117,15386.799805,14998.509766,15197.089844,15197.089844,158500
2007-11-13,15148.160156,15235.559570,14988.769531,15126.629883,15126.629883,151000
2007-11-14,15311.379883,15504.990234,15287.259766,15499.559570,15499.559570,139000
2007-11-15,15536.349609,15587.309570,15396.299805,15396.299805,15396.299805,129800
2007-11-16,15238.730469,15238.730469,15030.019531,15154.610352,15154.610352,118800
2007-11-19,15177.169922,15302.759766,15040.099609,15042.559570,15042.559570,125500
